index,original_normalized,شماره سوره,شماره آیه,predicted_sure
2##84,و اذ اخذنا ميثاقكم لا تسفكون دما كم و لا تخرجون انفسكم من دياركم ثم اقررتم و انتم تشهدون,2,84,3
2##85,ثم انتم هولا تقتلون انفسكم و تخرجون فريقا منكم من ديارهم تظاهرون عليهم بالاثم و العدوان و ان ياتوكم اساري تفادوهم و هو محرم عليكم اخراجهم ا فتومنون ببعض الكتاب و تكفرون ببعض فما جزا من يفعل ذلك منكم الا خزي في الحياه الدنيا و يوم القيامه يردون الي اشد العذاب و ما الله بغافل عما تعملون,2,85,2
2##86,اولئك الذين اشتروا الحياه الدنيا بالاخره فلا يخفف عنهم العذاب و لا هم ينصرون,2,86,2
2##87,و لقد اتينا موسي الكتاب و قفينا من بعده بالرسل و اتينا عيسي ابن مريم البينات و ايدناه بروح القدس ا فكلما جا كم رسول بما لا تهوي انفسكم استكبرتم ففريقا كذبتم و فريقا تقتلون,2,87,2
2##88,و قالوا قلوبنا غلف بل لعنهم الله بكفرهم فقليلا ما يومنون,2,88,2
2##89,و لما جا هم كتاب من عند الله مصدق لما معهم و كانوا من قبل يستفتحون علي الذين كفروا فلما جا هم ما عرفوا كفروا به فلعنه الله علي الكافرين,2,89,2
2##90,بئسما اشتروا به انفسهم ان يكفروا بما انزل الله بغيا ان ينزل الله من فضله علي من يشا من عباده فبا وا بغضب علي غضب و للكافرين عذاب مهين,2,90,22
2##91,و اذا قيل لهم امنوا بما انزل الله قالوا نومن بما انزل علينا و يكفرون بما ورا ه و هو الحق مصدقا لما معهم قل فلم تقتلون انبيا الله من قبل ان كنتم مومنين,2,91,2
2##92,و لقد جا كم موسي بالبينات ثم اتخذتم العجل من بعده و انتم ظالمون,2,92,2
2##93,و اذ اخذنا ميثاقكم و رفعنا فوقكم الطور خذوا ما اتيناكم بقوه و اسمعوا قالوا سمعنا و عصينا و اشربوا في قلوبهم العجل بكفرهم قل بئسما يامركم به ايمانكم ان كنتم مومنين,2,93,2
2##94,قل ان كانت لكم الدار الاخره عند الله خالصه من دون الناس فتمنوا الموت ان كنتم صادقين,2,94,36
2##95,و لن يتمنوه ابدا بما قدمت ايديهم و الله عليم بالظالمين,2,95,3
2##96,و لتجدنهم احرص الناس علي حياه و من الذين اشركوا يود احدهم لو يعمر الف سنه و ما هو بمزحزحه من العذاب ان يعمر و الله بصير بما يعملون,2,96,2
2##97,قل من كان عدوا لجبريل فانه نزله علي قلبك باذن الله مصدقا لما بين يديه و هدي و بشري للمومنين,2,97,2
2##98,من كان عدوا لله و ملائكته و رسله و جبريل و ميكال فان الله عدو للكافرين,2,98,2
2##99,و لقد انزلنا اليك ايات بينات و ما يكفر بها الا الفاسقون,2,99,2
2##100,ا و كلما عاهدوا عهدا نبذه فريق منهم بل اكثرهم لا يومنون,2,100,43
2##101,و لما جا هم رسول من عند الله مصدق لما معهم نبذ فريق من الذين اوتوا الكتاب كتاب الله ورا ظهورهم كانهم لا يعلمون,2,101,2
2##102,و اتبعوا ما تتلو الشياطين علي ملك سليمان و ما كفر سليمان و لكن الشياطين كفروا يعلمون الناس السحر و ما انزل علي الملكين ببابل هاروت و ماروت و ما يعلمان من احد حتي يقولا انما نحن فتنه فلا تكفر فيتعلمون منهما ما يفرقون به بين المر و زوجه و ما هم بضارين به من احد الا باذن الله و يتعلمون ما يضرهم و لا ينفعهم و لقد علموا لمن اشتراه ما له في الاخره من خلاق و لبئس ما شروا به انفسهم لو كانوا يعلمون,2,102,2
2##103,و لو انهم امنوا و اتقوا لمثوبه من عند الله خير لو كانوا يعلمون,2,103,2
2##104,يا ايها الذين امنوا لا تقولوا راعنا و قولوا انظرنا و اسمعوا و للكافرين عذاب اليم,2,104,2
2##105,ما يود الذين كفروا من اهل الكتاب و لا المشركين ان ينزل عليكم من خير من ربكم و الله يختص برحمته من يشا و الله ذو الفضل العظيم,2,105,2
2##106,ما ننسخ من ايه او ننسها نات بخير منها او مثلها ا لم تعلم ان الله علي كل شي قدير,2,106,2
2##107,ا لم تعلم ان الله له ملك السماوات و الارض و ما لكم من دون الله من ولي و لا نصير,2,107,2
2##108,ام تريدون ان تسالوا رسولكم كما سئل موسي من قبل و من يتبدل الكفر بالايمان فقد ضل سوا السبيل,2,108,3
2##109,ود كثير من اهل الكتاب لو يردونكم من بعد ايمانكم كفارا حسدا من عند انفسهم من بعد ما تبين لهم الحق فاعفوا و اصفحوا حتي ياتي الله بامره ان الله علي كل شي قدير,2,109,3
2##110,و اقيموا الصلاه و اتوا الزكاه و ما تقدموا لانفسكم من خير تجدوه عند الله ان الله بما تعملون بصير,2,110,2
2##111,و قالوا لن يدخل الجنه الا من كان هودا او نصاري تلك امانيهم قل هاتوا برهانكم ان كنتم صادقين,2,111,16
2##112,بلي من اسلم وجهه لله و هو محسن فله اجره عند ربه و لا خوف عليهم و لا هم يحزنون,2,112,3
2##113,و قالت اليهود ليست النصاري علي شي و قالت النصاري ليست اليهود علي شي و هم يتلون الكتاب كذلك قال الذين لا يعلمون مثل قولهم فالله يحكم بينهم يوم القيامه فيما كانوا فيه يختلفون,2,113,2
2##114,و من اظلم ممن منع مساجد الله ان يذكر فيها اسمه و سعي في خرابها اولئك ما كان لهم ان يدخلوها الا خائفين لهم في الدنيا خزي و لهم في الاخره عذاب عظيم,2,114,2
2##115,و لله المشرق و المغرب فاينما تولوا فثم وجه الله ان الله واسع عليم,2,115,2
2##116,و قالوا اتخذ الله ولدا سبحانه بل له ما في السماوات و الارض كل له قانتون,2,116,2
2##117,بديع السماوات و الارض و اذا قضي امرا فانما يقول له كن فيكون,2,117,2
2##118,و قال الذين لا يعلمون لو لا يكلمنا الله او تاتينا ايه كذلك قال الذين من قبلهم مثل قولهم تشابهت قلوبهم قد بينا الايات لقوم يوقنون,2,118,2
2##119,انا ارسلناك بالحق بشيرا و نذيرا و لا تسال عن اصحاب الجحيم,2,119,2
2##120,و لن ترضي عنك اليهود و لا النصاري حتي تتبع ملتهم قل ان هدي الله هو الهدي و لئن اتبعت اهوا هم بعد الذي جا ك من العلم ما لك من الله من ولي و لا نصير,2,120,2
2##121,الذين اتيناهم الكتاب يتلونه حق تلاوته اولئك يومنون به و من يكفر به فاولئك هم الخاسرون,2,121,2
2##122,يا بني اسرائيل اذكروا نعمتي التي انعمت عليكم و اني فضلتكم علي العالمين,2,122,2
2##123,و اتقوا يوما لا تجزي نفس عن نفس شيئا و لا يقبل منها عدل و لا تنفعها شفاعه و لا هم ينصرون,2,123,2
2##124,و اذ ابتلي ابراهيم ربه بكلمات فاتمهن قال اني جاعلك للناس اماما قال و من ذريتي قال لا ينال عهدي الظالمين,2,124,19
2##125,و اذ جعلنا البيت مثابه للناس و امنا و اتخذوا من مقام ابراهيم مصلي و عهدنا الي ابراهيم و اسماعيل ان طهرا بيتي للطائفين و العاكفين و الركع السجود,2,125,2
2##126,و اذ قال ابراهيم رب اجعل هذا بلدا امنا و ارزق اهله من الثمرات من امن منهم بالله و اليوم الاخر قال و من كفر فامتعه قليلا ثم اضطره الي عذاب النار و بئس المصير,2,126,2
2##127,و اذ يرفع ابراهيم القواعد من البيت و اسماعيل ربنا تقبل منا انك انت السميع العليم,2,127,2
2##128,ربنا و اجعلنا مسلمين لك و من ذريتنا امه مسلمه لك و ارنا مناسكنا و تب علينا انك انت التواب الرحيم,2,128,2
2##129,ربنا و ابعث فيهم رسولا منهم يتلو عليهم اياتك و يعلمهم الكتاب و الحكمه و يزكيهم انك انت العزيز الحكيم,2,129,2
2##130,و من يرغب عن مله ابراهيم الا من سفه نفسه و لقد اصطفيناه في الدنيا و انه في الاخره لمن الصالحين,2,130,2
2##131,اذ قال له ربه اسلم قال اسلمت لرب العالمين,2,131,2
2##132,و وصي بها ابراهيم بنيه و يعقوب يا بني ان الله اصطفي لكم الدين فلا تموتن الا و انتم مسلمون,2,132,2
2##133,ام كنتم شهدا اذ حضر يعقوب الموت اذ قال لبنيه ما تعبدون من بعدي قالوا نعبد الهك و اله ابائك ابراهيم و اسماعيل و اسحاق الها واحدا و نحن له مسلمون,2,133,2
2##134,تلك امه قد خلت لها ما كسبت و لكم ما كسبتم و لا تسالون عما كانوا يعملون,2,134,2
2##135,و قالوا كونوا هودا او نصاري تهتدوا قل بل مله ابراهيم حنيفا و ما كان من المشركين,2,135,2
2##136,قولوا امنا بالله و ما انزل الينا و ما انزل الي ابراهيم و اسماعيل و اسحاق و يعقوب و الاسباط و ما اوتي موسي و عيسي و ما اوتي النبيون من ربهم لا نفرق بين احد منهم و نحن له مسلمون,2,136,2
2##137,فان امنوا بمثل ما امنتم به فقد اهتدوا و ان تولوا فانما هم في شقاق فسيكفيكهم الله و هو السميع العليم,2,137,11
2##138,صبغه الله و من احسن من الله صبغه و نحن له عابدون,2,138,7
2##139,قل ا تحاجوننا في الله و هو ربنا و ربكم و لنا اعمالنا و لكم اعمالكم و نحن له مخلصون,2,139,2
2##140,ام تقولون ان ابراهيم و اسماعيل و اسحاق و يعقوب و الاسباط كانوا هودا او نصاري قل ا انتم اعلم ام الله و من اظلم ممن كتم شهاده عنده من الله و ما الله بغافل عما تعملون,2,140,2
2##141,تلك امه قد خلت لها ما كسبت و لكم ما كسبتم و لا تسالون عما كانوا يعملون,2,141,2
2##142,سيقول السفها من الناس ما ولاهم عن قبلتهم التي كانوا عليها قل لله المشرق و المغرب يهدي من يشا الي صراط مستقيم,2,142,2
2##143,و كذلك جعلناكم امه وسطا لتكونوا شهدا علي الناس و يكون الرسول عليكم شهيدا و ما جعلنا القبله التي كنت عليها الا لنعلم من يتبع الرسول ممن ينقلب علي عقبيه و ان كانت لكبيره الا علي الذين هدي الله و ما كان الله ليضيع ايمانكم ان الله بالناس لر وف رحيم,2,143,2
2##144,قد نري تقلب وجهك في السما فلنولينك قبله ترضاها فول وجهك شطر المسجد الحرام و حيث ما كنتم فولوا وجوهكم شطره و ان الذين اوتوا الكتاب ليعلمون انه الحق من ربهم و ما الله بغافل عما يعملون,2,144,2
2##145,و لئن اتيت الذين اوتوا الكتاب بكل ايه ما تبعوا قبلتك و ما انت بتابع قبلتهم و ما بعضهم بتابع قبله بعض و لئن اتبعت اهوا هم من بعد ما جا ك من العلم انك اذا لمن الظالمين,2,145,2
2##146,الذين اتيناهم الكتاب يعرفونه كما يعرفون ابنا هم و ان فريقا منهم ليكتمون الحق و هم يعلمون,2,146,2
2##147,الحق من ربك فلا تكونن من الممترين,2,147,2
2##148,و لكل وجهه هو موليها فاستبقوا الخيرات اين ما تكونوا يات بكم الله جميعا ان الله علي كل شي قدير,2,148,2
2##149,و من حيث خرجت فول وجهك شطر المسجد الحرام و انه للحق من ربك و ما الله بغافل عما تعملون,2,149,2
2##150,و من حيث خرجت فول وجهك شطر المسجد الحرام و حيث ما كنتم فولوا وجوهكم شطره لئلا يكون للناس عليكم حجه الا الذين ظلموا منهم فلا تخشوهم و اخشوني و لاتم نعمتي عليكم و لعلكم تهتدون,2,150,2
2##151,كما ارسلنا فيكم رسولا منكم يتلو عليكم اياتنا و يزكيكم و يعلمكم الكتاب و الحكمه و يعلمكم ما لم تكونوا تعلمون,2,151,2
2##152,فاذكروني اذكركم و اشكروا لي و لا تكفرون,2,152,2
2##153,يا ايها الذين امنوا استعينوا بالصبر و الصلاه ان الله مع الصابرين,2,153,2
2##154,و لا تقولوا لمن يقتل في سبيل الله اموات بل احيا و لكن لا تشعرون,2,154,2
2##155,و لنبلونكم بشي من الخوف و الجوع و نقص من الاموال و الانفس و الثمرات و بشر الصابرين,2,155,2
2##156,الذين اذا اصابتهم مصيبه قالوا انا لله و انا اليه راجعون,2,156,2
2##157,اولئك عليهم صلوات من ربهم و رحمه و اولئك هم المهتدون,2,157,2
2##158,ان الصفا و المروه من شعائر الله فمن حج البيت او اعتمر فلا جناح عليه ان يطوف بهما و من تطوع خيرا فان الله شاكر عليم,2,158,2
2##159,ان الذين يكتمون ما انزلنا من البينات و الهدي من بعد ما بيناه للناس في الكتاب اولئك يلعنهم الله و يلعنهم اللاعنون,2,159,2
2##160,الا الذين تابوا و اصلحوا و بينوا فاولئك اتوب عليهم و انا التواب الرحيم,2,160,2
2##161,ان الذين كفروا و ماتوا و هم كفار اولئك عليهم لعنه الله و الملائكه و الناس اجمعين,2,161,2
2##162,خالدين فيها لا يخفف عنهم العذاب و لا هم ينظرون,2,162,3
2##163,و الهكم اله واحد لا اله الا هو الرحمن الرحيم,2,163,2
2##164,ان في خلق السماوات و الارض و اختلاف الليل و النهار و الفلك التي تجري في البحر بما ينفع الناس و ما انزل الله من السما من ما فاحيا به الارض بعد موتها و بث فيها من كل دابه و تصريف الرياح و السحاب المسخر بين السما و الارض لايات لقوم يعقلون,2,164,2
2##165,و من الناس من يتخذ من دون الله اندادا يحبونهم كحب الله و الذين امنوا اشد حبا لله و لو يري الذين ظلموا اذ يرون العذاب ان القوه لله جميعا و ان الله شديد العذاب,2,165,2
2##166,اذ تبرا الذين اتبعوا من الذين اتبعوا و راوا العذاب و تقطعت بهم الاسباب,2,166,26
2##167,و قال الذين اتبعوا لو ان لنا كره فنتبرا منهم كما تبر وا منا كذلك يريهم الله اعمالهم حسرات عليهم و ما هم بخارجين من النار,2,167,2
2##168,يا ايها الناس كلوا مما في الارض حلالا طيبا و لا تتبعوا خطوات الشيطان انه لكم عدو مبين,2,168,2
2##169,انما يامركم بالسو و الفحشا و ان تقولوا علي الله ما لا تعلمون,2,169,2
2##170,و اذا قيل لهم اتبعوا ما انزل الله قالوا بل نتبع ما الفينا عليه ابا نا ا و لو كان اباوهم لا يعقلون شيئا و لا يهتدون,2,170,40
2##171,و مثل الذين كفروا كمثل الذي ينعق بما لا يسمع الا دعا و ندا صم بكم عمي فهم لا يعقلون,2,171,2
2##172,يا ايها الذين امنوا كلوا من طيبات ما رزقناكم و اشكروا لله ان كنتم اياه تعبدون,2,172,16
2##173,انما حرم عليكم الميته و الدم و لحم الخنزير و ما اهل به لغير الله فمن اضطر غير باغ و لا عاد فلا اثم عليه ان الله غفور رحيم,2,173,16
2##174,ان الذين يكتمون ما انزل الله من الكتاب و يشترون به ثمنا قليلا اولئك ما ياكلون في بطونهم الا النار و لا يكلمهم الله يوم القيامه و لا يزكيهم و لهم عذاب اليم,2,174,2
2##175,اولئك الذين اشتروا الضلاله بالهدي و العذاب بالمغفره فما اصبرهم علي النار,2,175,2
2##176,ذلك بان الله نزل الكتاب بالحق و ان الذين اختلفوا في الكتاب لفي شقاق بعيد,2,176,2
2##177,ليس البر ان تولوا وجوهكم قبل المشرق و المغرب و لكن البر من امن بالله و اليوم الاخر و الملائكه و الكتاب و النبيين و اتي المال علي حبه ذوي القربي و اليتامي و المساكين و ابن السبيل و السائلين و في الرقاب و اقام الصلاه و اتي الزكاه و الموفون بعهدهم اذا عاهدوا و الصابرين في الباسا و الضرا و حين الباس اولئك الذين صدقوا و اولئك هم المتقون,2,177,2
2##178,يا ايها الذين امنوا كتب عليكم القصاص في القتلي الحر بالحر و العبد بالعبد و الانثي بالانثي فمن عفي له من اخيه شي فاتباع بالمعروف و ادا اليه باحسان ذلك تخفيف من ربكم و رحمه فمن اعتدي بعد ذلك فله عذاب اليم,2,178,2
2##179,و لكم في القصاص حياه يا اولي الالباب لعلكم تتقون,2,179,2
2##180,كتب عليكم اذا حضر احدكم الموت ان ترك خيرا الوصيه للوالدين و الاقربين بالمعروف حقا علي المتقين,2,180,2
2##181,فمن بدله بعد ما سمعه فانما اثمه علي الذين يبدلونه ان الله سميع عليم,2,181,2
2##182,فمن خاف من موص جنفا او اثما فاصلح بينهم فلا اثم عليه ان الله غفور رحيم,2,182,37
2##183,يا ايها الذين امنوا كتب عليكم الصيام كما كتب علي الذين من قبلكم لعلكم تتقون,2,183,2
2##184,اياما معدودات فمن كان منكم مريضا او علي سفر فعده من ايام اخر و علي الذين يطيقونه فديه طعام مسكين فمن تطوع خيرا فهو خير له و ان تصوموا خير لكم ان كنتم تعلمون,2,184,2
2##185,شهر رمضان الذي انزل فيه القران هدي للناس و بينات من الهدي و الفرقان فمن شهد منكم الشهر فليصمه و من كان مريضا او علي سفر فعده من ايام اخر يريد الله بكم اليسر و لا يريد بكم العسر و لتكملوا العده و لتكبروا الله علي ما هداكم و لعلكم تشكرون,2,185,2
2##186,و اذا سالك عبادي عني فاني قريب اجيب دعوه الداع اذا دعان فليستجيبوا لي و ليومنوا بي لعلهم يرشدون,2,186,2
